Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,GetItem,1687745091.679805,624,0,1
1,GetItem,1687745091.680432,570,0,1
1,GetItem,1687745091.681006,590,0,1
1,GetItem,1687745091.681598,549,0,1
1,GetItem,1687745091.682150,578,0,1
1,GetItem,1687745091.682731,556,0,1
2,GetUserInfo,1687745091.683289,366,0,1
1,GetItem,1687745091.683657,605,0,1
2,GetUserInfo,1687745091.684264,608,0,1
7,NewItem,1687745091.684875,3755,0,1
1,GetItem,1687745091.688637,590,0,1
9,UpdateItem,1687745091.689231,465,0,1
1,GetItem,1687745091.689699,567,0,1
1,GetItem,1687745091.690268,590,0,1
1,GetItem,1687745091.690861,570,0,1
9,UpdateItem,1687745091.691434,405,0,1
8,NewPurchase,1687745091.691842,3,0,1
2,GetUserInfo,1687745091.691846,1134,0,1
1,GetItem,1687745091.692984,658,0,1
1,GetItem,1687745091.693645,571,0,1
1,GetItem,1687745091.694218,589,0,1
3,NewBid,1687745091.694810,1157,0,1
3,NewBid,1687745091.695972,1111,0,1
1,GetItem,1687745091.697088,609,0,1
1,GetItem,1687745091.697701,596,0,1
7,NewItem,1687745091.698300,3558,0,1
1,GetItem,1687745091.701863,575,0,1
1,GetItem,1687745091.702441,575,0,1
1,GetItem,1687745091.703019,621,0,1
1,GetItem,1687745091.703643,582,0,1
8,NewPurchase,1687745091.704229,3,0,1
3,NewBid,1687745091.704233,1305,0,1
4,NewComment,1687745091.705545,1413,0,1
7,NewItem,1687745091.706961,2300,0,1
1,GetItem,1687745091.709267,594,0,1
3,NewBid,1687745091.709864,1127,0,1
2,GetUserInfo,1687745091.710996,592,0,1
1,GetItem,1687745091.711591,570,0,1
3,NewBid,1687745091.712164,1071,0,1
1,GetItem,1687745091.713239,591,0,1
3,NewBid,1687745091.713833,1132,0,1
1,GetItem,1687745091.714969,573,0,1
4,NewComment,1687745091.715545,1111,0,1
1,GetItem,1687745091.716661,607,0,1
1,GetItem,1687745091.717270,579,0,1
1,GetItem,1687745091.717851,544,0,1
1,GetItem,1687745091.718398,553,0,1
3,NewBid,1687745091.718953,1185,0,1
3,NewBid,1687745091.720144,1071,0,1
7,NewItem,1687745091.721219,2432,0,1
1,GetItem,1687745091.723656,586,0,1
1,GetItem,1687745091.724246,575,0,1
6,NewFeedback,1687745091.724823,834,0,1
1,GetItem,1687745091.725660,571,0,1
8,NewPurchase,1687745091.726234,2,0,1
7,NewItem,1687745091.726237,3167,0,1
1,GetItem,1687745091.729409,562,0,1
1,GetItem,1687745091.729974,553,0,1
2,GetUserInfo,1687745091.730529,430,0,1
6,NewFeedback,1687745091.730961,820,0,1
9,UpdateItem,1687745091.731784,705,0,1
1,GetItem,1687745091.732492,601,0,1
2,GetUserInfo,1687745091.733095,844,0,1
1,GetItem,1687745091.733942,584,0,1
1,GetItem,1687745091.734528,596,0,1
8,NewPurchase,1687745091.735127,2,0,1
1,GetItem,1687745091.735130,554,0,1
7,NewItem,1687745091.735686,2201,0,1
9,UpdateItem,1687745091.737891,438,0,1
1,GetItem,1687745091.738333,594,0,1
1,GetItem,1687745091.738930,563,0,1
1,GetItem,1687745091.739495,541,0,1
1,GetItem,1687745091.740038,563,0,1
3,NewBid,1687745091.740603,1092,0,1
1,GetItem,1687745091.741700,574,0,1
6,NewFeedback,1687745091.742277,823,0,1
1,GetItem,1687745091.743104,571,0,1
1,GetItem,1687745091.743678,587,0,1
1,GetItem,1687745091.744267,576,0,1
1,GetItem,1687745091.744846,565,0,1
1,GetItem,1687745091.745413,573,0,1
3,NewBid,1687745091.745988,1121,0,1
7,NewItem,1687745091.747115,4625,0,1
1,GetItem,1687745091.751745,569,0,1
1,GetItem,1687745091.752317,550,0,1
